Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Totlen Fwd Pkts,Totlen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,
68.232.35.139-192.168.1.101-443-56659-6,192.168.1.101,56659,68.232.35.139,443,2014-08-08 01:02:04,119.0,1,1,0.0,31.0,0,0,0.0,0.0,31,31,31.0,0.0, , ,119.0,0.0,119.0,119.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,8403.361344537814,8403.361344537814,0,31,20.666666666666668,14.61354014452198,213.55555555555551,
192.168.1.101-68.232.35.139-56659-443-6,68.232.35.139,443,192.168.1.101,56659,2014-08-08 01:02:04,3.0,2,1,31.0,0.0,31,0,15.5,15.5,0,0,0.0,0.0, , ,1.5,0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,666666.6666666666,666666.6666666666,0,31,7.75,13.423393758658799,180.1875,
90.84.59.130-192.168.1.101-443-56671-6,192.168.1.101,56671,90.84.59.130,443,2014-08-08 01:02:02,7100025.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0, , ,7100025.0,0.0,7100025.0,7100025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.1408445744909349,0.1408445744909349,0,0,0.0,0.0,0.0,
173.194.35.53-192.168.1.101-443-56644-6,192.168.1.101,56644,173.194.35.53,443,2014-08-08 01:02:12,3923267.0,4,1,158.0,41.0,76,0,39.5,26.911893281595777,41,41,41.0,0.0, , ,980816.75,672459.0797529523,1754720.0,127.0,3175766.0,1058588.6666666667,760750.3321293318,1754720.0,127.0,0,0,0,0,0,1,0,0,0,80,20,1.0195584445310502,1.0195584445310502,0,76,40.0,21.984843263788203,483.33333333333354,
173.194.35.55-192.168.1.101-443-56675-6,192.168.1.101,56675,173.194.35.55,443,2014-08-08 01:02:22,330594.0,3,1,517.0,0.0,517,0,172.33333333333334,243.71613724896335,0,0,0.0,0.0, , ,110198.0,154797.17824516914,329113.0,95.0,1481.0,740.5,645.5,1386.0,95.0,0,0,0,0,0,0,0,0,0,60,28,9.074574856167988,9.074574856167988,0,517,103.4,206.8,42766.240000000005,
192.168.1.101-173.194.35.55-56675-443-6,173.194.35.55,443,192.168.1.101,56675,2014-08-08 01:02:22,276898.0,3,1,137.0,0.0,137,0,45.666666666666664,64.58241934837135,0,0,0.0,0.0, , ,92299.33333333333,130528.84767828997,276895.0,1.0,3.0,1.5,0.5,2.0,1.0,0,0,0,0,0,0,0,0,0,60,28,10.834314440696575,10.834314440696575,0,137,27.4,54.800000000000004,3003.0400000000004,
173.194.35.55-192.168.1.101-443-56676-6,192.168.1.101,56676,173.194.35.55,443,2014-08-08 01:02:22,345266.0,3,1,517.0,0.0,517,0,172.33333333333334,243.71613724896335,0,0,0.0,0.0, , ,115088.66666666667,143128.71428736986,316845.0,85.0,28421.0,14210.5,14125.5,28336.0,85.0,0,0,0,0,0,0,0,0,0,60,28,8.688952865327023,8.688952865327023,0,517,103.4,206.8,42766.240000000005,
192.168.1.101-173.194.35.55-56676-443-6,173.194.35.55,443,192.168.1.101,56676,2014-08-08 01:02:23,310339.0,3,1,137.0,0.0,137,0,45.666666666666664,64.58241934837135,0,0,0.0,0.0, , ,103446.33333333333,146292.37915064325,310335.0,2.0,4.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,60,28,9.666848188593764,9.666848188593764,0,137,27.4,54.800000000000004,3003.0400000000004,
192.168.1.101-173.194.66.84-56652-443-6,173.194.66.84,443,192.168.1.101,56652,2014-08-08 01:02:22,2786056.0,3,1,110.0,0.0,65,0,36.666666666666664,27.18251071716682,0,0,0.0,0.0, , ,928685.3333333334,902859.9377542208,2151905.0,4.0,634151.0,317075.5,317071.5,634147.0,4.0,0,0,0,0,0,0,0,0,0,60,32,1.076790990561568,1.076790990561568,0,65,22.0,27.676705006196094,766.0,
173.194.66.84-192.168.1.101-443-56652-6,192.168.1.101,56652,173.194.66.84,443,2014-08-08 01:02:21,4048301.0,5,1,117.0,41.0,76,0,23.4,30.72197910291588,41,41,41.0,0.0, , ,809660.2,1009745.8632680601,2700495.0,83.0,3078672.0,769668.0,1125382.8260549828,2700495.0,83.0,0,0,0,0,0,1,0,0,0,100,20,1.2350860274470696,1.2350860274470696,0,76,28.428571428571427,27.154884553281402,737.3877551020408,
