Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Totlen Fwd Pkts,Totlen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Sive Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,
10.0.2.15-137.189.192.3-48341-53-17,10.0.2.15,48341,137.189.192.3,53,17,2019-04-06 18:02:02,0,1,3,34.0,204.0,34,34,34.0,0,91,34,68.0,30.04995840263344,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,24,0,0,34,91,54.4,28.25420322713065,798.3,0,0,0,0,0,0,0,0,1.0,68.0,34.0,68.0,0,0,0,0,0,0,1.0,34.0,3.0,204.0,-1,-1,1,8,0,0,0,0,0,0,0,0,
10.0.2.15-157.240.15.35-55230-443-6,10.0.2.15,55230,157.240.15.35,443,6,2019-04-06 18:02:02,2000000,32,36,2044.0,85934.0,854,0,63.875,183.66550065004657,11360,0,2387.0555555555557,2769.8601506155965,43989.0,34.0,29850.746268656716,171459.79772029107,1000000,0,2000000.0,64516.12903225807,249731.03811470745,1000000,0,2000000.0,57142.857142857145,235504.10797680277,1000000,0,0,1,0,0,640,720,16.0,16.0,0,11360,1277.3333333333333,2308.1562967433724,5327585.490196079,0,0,0,1,1,0,0,0,1.0,1296.1176470588234,63.875,2387.0555555555557,0,0,0,0,0,0,32.0,2044.0,36.0,85934.0,-1,65535,7,20,0,0,0,0,0,0,0,0,
10.0.2.15-137.189.192.3-43202-53-17,10.0.2.15,43202,137.189.192.3,53,17,2019-04-06 18:02:03,0,1,3,34.0,204.0,34,34,34.0,0,91,34,68.0,30.04995840263344,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,24,0,0,34,91,54.4,28.25420322713065,798.3,0,0,0,0,0,0,0,0,1.0,68.0,34.0,68.0,0,0,0,0,0,0,1.0,34.0,3.0,204.0,-1,-1,1,8,0,0,0,0,0,0,0,0,
10.0.2.15-137.189.192.3-35298-53-17,10.0.2.15,35298,137.189.192.3,53,17,2019-04-06 18:02:03,0,1,3,34.0,204.0,34,34,34.0,0,91,34,68.0,30.04995840263344,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,24,0,0,34,91,54.4,28.25420322713065,798.3,0,0,0,0,0,0,0,0,1.0,68.0,34.0,68.0,0,0,0,0,0,0,1.0,34.0,3.0,204.0,-1,-1,1,8,0,0,0,0,0,0,0,0,
10.0.2.15-137.189.192.3-57948-53-17,10.0.2.15,57948,137.189.192.3,53,17,2019-04-06 18:02:03,0,1,3,34.0,204.0,34,34,34.0,0,91,34,68.0,30.04995840263344,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,24,0,0,34,91,54.4,28.25420322713065,798.3,0,0,0,0,0,0,0,0,1.0,68.0,34.0,68.0,0,0,0,0,0,0,1.0,34.0,3.0,204.0,-1,-1,1,8,0,0,0,0,0,0,0,0,
10.0.2.15-137.189.192.3-44119-53-17,10.0.2.15,44119,137.189.192.3,53,17,2019-04-06 18:02:04,0,1,3,34.0,204.0,34,34,34.0,0,91,34,68.0,30.04995840263344,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,24,0,0,34,91,54.4,28.25420322713065,798.3,0,0,0,0,0,0,0,0,1.0,68.0,34.0,68.0,0,0,0,0,0,0,1.0,34.0,3.0,204.0,-1,-1,1,8,0,0,0,0,0,0,0,0,
10.0.2.15-137.189.192.3-48096-53-17,10.0.2.15,48096,137.189.192.3,53,17,2019-04-06 18:02:04,0,1,3,30.0,134.0,30,30,30.0,0,58,30,44.666666666666664,14.047538337136984,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,24,0,0,30,58,38.8,12.77497553813705,163.2,0,0,0,0,0,0,0,0,1.0,48.5,30.0,44.666666666666664,0,0,0,0,0,0,1.0,30.0,3.0,134.0,-1,-1,1,8,0,0,0,0,0,0,0,0,
10.0.2.15-137.189.192.3-48393-53-17,10.0.2.15,48393,137.189.192.3,53,17,2019-04-06 18:02:04,0,1,3,34.0,204.0,34,34,34.0,0,91,34,68.0,30.04995840263344,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,24,0,0,34,91,54.4,28.25420322713065,798.3,0,0,0,0,0,0,0,0,1.0,68.0,34.0,68.0,0,0,0,0,0,0,1.0,34.0,3.0,204.0,-1,-1,1,8,0,0,0,0,0,0,0,0,
10.0.2.15-137.189.192.3-36892-53-17,10.0.2.15,36892,137.189.192.3,53,17,2019-04-06 18:02:04,0,1,3,34.0,204.0,34,34,34.0,0,91,34,68.0,30.04995840263344,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,24,0,0,34,91,54.4,28.25420322713065,798.3,0,0,0,0,0,0,0,0,1.0,68.0,34.0,68.0,0,0,0,0,0,0,1.0,34.0,3.0,204.0,-1,-1,1,8,0,0,0,0,0,0,0,0,
10.0.2.15-137.189.192.3-48341-53-17,10.0.2.15,48341,137.189.192.3,53,17,2019-04-06 18:02:02,0,1,3,34.0,204.0,34,34,34.0,0,91,34,68.0,30.04995840263344,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,24,0,0,34,91,54.4,28.25420322713065,798.3,0,0,0,0,0,0,0,0,1.0,68.0,34.0,68.0,0,0,0,0,0,0,1.0,34.0,3.0,204.0,-1,-1,1,8,0,0,0,0,0,0,0,0,
